x^3 + 27*x - 18
x^3 - 18*x - 48
x^3 - x^2 - 20*x - 23
x^3 + 10*x - 36
x^3 - x^2 - 17*x + 26
x^3 - x^2 - 23*x - 13
x^3 - x^2 - 15*x - 8
x^3 - x^2 - 19*x + 33
x^3 - 30*x - 27
x^3 - x^2 - 19
x^3 - x^2 - 28*x + 19
x^3 - x^2 - 24*x - 34
x^3 - x^2 + 11*x + 10
x^3 - x^2 - 26*x + 44
x^3 + 11*x - 13
x^3 - x^2 + 8*x - 40
x^3 - x^2 - 28*x + 1
x^3 - x^2 + 3*x - 20
x^3 - 17*x - 19
x^3 - x^2 - 5*x - 18
x^3 - x^2 - 14*x + 13
x^3 - 23*x - 18
x^3 - x^2 - 16*x + 22
x^3 - 14*x - 6
x^3 - x^2 - 30*x - 18
x^3 - x^2 - 7*x - 56
x^3 - x^2 - 22*x + 20
x^3 - x^2 - 19*x - 20
x^3 + 11*x - 36
x^3 - x^2 - 4*x - 76
x^3 - x^2 - 19*x + 73
x^3 + 7*x - 18
x^3 - 9*x - 22
x^3 - x^2 + 19*x + 17
x^3 - x^2 + 12*x - 80
x^3 - x^2 - 29*x + 57
x^3 - x^2 - 24*x + 50
x^3 + 12*x - 11
x^3 - x^2 + 7*x + 16
x^3 - x^2 - 23*x + 27
x^3 - 22*x - 8
x^3 - 15*x - 11
x^3 + 5*x - 19
x^3 - x^2 + 11*x + 33
x^3 - 18*x - 22
x^3 - x^2 - 22*x - 4
x^3 - x^2 - 18*x - 17
x^3 + 15*x - 32
x^3 - x^2 - 23*x - 31
x^3 - 14*x - 5
x^3 - x^2 - 17*x - 14
x^3 - x^2 - 29*x + 27
x^3 - 25*x - 28
x^3 - x^2 - 13*x - 39
x^3 - x^2 - 12*x - 76
x^3 - x^2 - 22*x + 43
x^3 - x^2 - x + 20
x^3 - x^2 + 14*x - 7
x^3 - x^2 - 18*x + 29
x^3 - x^2 - 15*x - 7
x^3 - x^2 - 29*x + 74
x^3 - 22*x - 4
x^3 - x^2 - 14*x - 2
x^3 - x^2 + 14*x - 1
x^3 - 19*x - 25
x^3 - x^2 + 21*x - 54
x^3 - x^2 - 15*x + 17
x^3 - 21*x - 42
x^3 - 21*x - 70
x^3 + 6*x - 19
x^3 - x^2 - 27*x - 29
x^3 - x^2 - 22*x + 16
x^3 - 26*x - 47
x^3 - 26*x - 32
x^3 - x^2 + 13*x - 14
x^3 - x^2 - 27*x + 47
x^3 - x^2 - 14*x + 11
